避難施設名称,よみ,住所,経度,緯度,避難所種別,災害種別,連絡先,延べ面積[㎡],屋内収容可能人数,URL,備考
同志社中学校・高等学校 南体育館,,京都市左京区岩倉大鷺町89,135.7865933,35.06634311,,,757817121,,0,,
東山中学・高等学校,,京都市左京区永観堂町51,135.7942425,35.01324927,,,757719121,,0,,
天理教河原町大教会,,京都市左京区東丸太町1-1,135.7734827,35.01809768,,,,,0,,
元京都市立生祥小学校,,京都市中京区富小路通六角下ル骨屋之町549,135.7652977,35.00679155,,,752211406,,1109,,
元京都市立教業小学校,,京都市中京区大宮通御池下ル三坊大宮町121-2,135.7481762,35.00991211,,,758413077,,1656,,
元京都市立立誠小学校,,京都市中京区蛸薬師通河原町東入備前島町310-2,135.7702898,35.00597373,,,752120568,,1170,,
京都市教育相談総合センター,,京都市中京区姉小路通東洞院東入曇華院前町706-3,135.7617083,35.00962752,,,752132222,,817,,
京都市立御所南小学校,,京都市中京区柳馬場通夷川上ル五町目242,135.7644781,35.01596341,,,752230148,,2003,,
京都市立高倉小学校,,京都市中京区高倉通六角下ル和久屋町343,135.762103,35.00662181,,,752118784,,1834,,
京都市立洛中小学校,,京都市中京区壬生坊城町57-1,135.7473804,35.00598501,,,758410260,,1469,,
京都市立朱雀第一小学校,,京都市中京区壬生朱雀町8-2,135.7438009,35.00706829,,,758413201,,2264,,
京都市立朱雀第二小学校,,京都市中京区西ノ京左馬寮町3-1,135.7367832,35.01788369,,,758413202,,1405,,
京都市立朱雀第三小学校,,京都市中京区壬生松原町81,135.7398885,34.99846436,,,753123203,,2905,,
京都市立朱雀第四小学校,,京都市中京区西ノ京笠殿町164,135.7343343,35.01400682,,,758413204,,3261,,
京都市立朱雀第六小学校,,京都市中京区西ノ京車坂町15-5,135.7384754,35.01684913,,,758413206,,1680,,
京都市立朱雀第七小学校,,京都市中京区壬生東土居ノ内町20,135.7354342,35.00303159,,,753110307,,1813,,
京都市立朱雀第八小学校,,京都市中京区西ノ京中御門西町25,135.7288104,35.01688652,,,758410080,,2540,,
京都市立京都御池中学校,,京都市中京区柳馬場通御池上る虎石町45-3,135.7642554,35.01177159,,,752210414,,1663,,
京都市立朱雀中学校,,京都市中京区壬生中川町20-1,135.7364981,35.00701218,,,758410205,,2272,,
京都市立中京中学校,,京都市中京区西ノ京北聖町51,135.7436254,35.01292701,,,758013266,,475,,
京都市立北野中学校,,京都市中京区西ノ京中保町1-4,135.7314322,35.02177559,,,754637101,,3594,,
京都市立松原中学校,,京都市中京区壬生相合町1,135.7478026,34.99988744,,,758410650,,2768,,
京都市立西ノ京中学校,,京都市中京区西ノ京永本町7-1,135.7381984,35.01264409,,,758023365,,1448,,
京都市立堀川高等学校,,京都市中京区東堀川通錦小路上ル四坊堀川町622-2,135.7522322,35.00576198,,,752115351,,4624,,
京都市立西京高等学校,,京都市中京区西ノ京東中合町1,135.7308585,35.01173955,,,758410010,,8359,,
京都市立銅駝美術工芸高等学校,,京都市中京区土手町通竹屋町下ル鉾田町542,135.7701205,35.01483846,,,752114984,,1303,,
京都市生涯学習総合センター,,京都市中京区聚楽廻松下町9-2,135.7384435,35.01897806,,,758023141,,7041,,
京都国際マンガミュージアム,,京都市中京区烏丸通御池上ル金吹町452,135.7589538,35.01168374,,,752547414,,3146,,
京都芸術センター,,京都市中京区室町通蛸薬師下ル山伏山町546-2,135.7583892,35.00544166,,,752131003,,413,,
京都市男女共同参画センター,,京都市中京区東洞院通六角下ル御射山町262,135.7614005,35.00686283,,,752127490,,375,,
京都府立朱雀高等学校,,京都市中京区西ノ京式部町1,135.745057,35.01419163,,,758410127,,3783,,
花園大学,,京都市中京区西ノ京壺ノ内町8-1,135.725948,35.01705813,,,758115181,,2822,,
洛陽総合高等学校,,京都市中京区西ノ京春日町8,135.7277629,35.01761427,,,758020394,,891,,
京都両洋高等学校,,京都市中京区壬生上大竹町13,135.7339733,35.00781105,,,758412025,,2275,,
京都市立京都堀川音楽高等学校,,京都市中京区油小路通御池押油小路町238-1,135.752765,35.011932,,,752531581,,1147,,
京都市こどもみらい館,,京都市中京区間之町通竹屋町下ル楠町601-1,135.7612277,35.01553998,,,752545001,,0,,
京都市立中京もえぎ幼稚園,,京都市中京区間之町通竹屋町下ル楠町601-1,135.7612406,35.01558293,,,752548441,,0,,
京都市子ども保健医療相談・事故防止センター「京（みやこ）あんしんこども館」,,京都市中京区釜座通丸太町上ル梅屋町174-3,135.7559083,35.01778645,,,752318002,,0,,
職員会館かもがわ,,京都市中京区土手町通夷川上ル末丸町284,135.7708452,35.01564275,,,752561307,,0,,
京都市立堀川高等学校本能館及び本能自治会館,,京都市中京区東堀川錦小路上四坊堀川622?2,135.7529894,35.00506309,,,,,0,,
真如苑京都四条,,京都市中京区壬生森町29-1,135.7380693,35.00379146,,,758223443,,0,,
元京都市立貞教小学校,,京都市東山区鞘町通正面下る上堀詰町272,135.7709503,34.98364191,,,755613170,,1691,,
元京都市立有済小学校,,京都市東山区大和大路通三条下ル東入若松町393,135.7738047,35.00769998,,,755412151,,1755,,
元京都市立白川小学校,,京都市東山区三条通白川橋東入三丁目夷町175-2,135.783611,35.00882071,,,755610020,,1588,,
元京都市立新道小学校,,京都市東山区大和大路通四条下ル四丁目小松町130,135.7717198,34.99960123,,,755310196,,1059,,
元京都市立清水小学校,,京都市東山区清水二丁目204-2,135.7799096,34.99744696,,,755610979,,1663,,
元京都市立月輪小学校,,京都市東山区本町通三ノ橋上ル本町十七丁目358,135.7716278,34.9778093,,,755614380,,2850,,
元京都市立今熊野小学校,,京都市東山区今熊野南日吉町27-3,135.7782313,34.98480526,,,755613322,,2091,,
京都市立開睛小・中学校,,京都市東山区六波羅裏門通東入多門町155,135.774162,34.996241,,,755338811,,3909,,
京都市立日吉ケ丘高等学校,,京都市東山区今熊野悲田院山町5-22,135.7755043,34.97875046,,,755610710,,8484,,
東山地域体育館,,京都市東山区清水五丁目130-6 東山区総合庁舎3階,135.7765287,34.99711436,,,755320474,,548,,
京都府立陶工高等技術専門校,,京都市東山区今熊野阿弥陀ヶ峰町17-2,135.7819913,34.99072691,,,755612943,,282,,
大谷中学校・大谷高等学校,,京都市東山区今熊野池田町12,135.7719502,34.98413122,,,755411312,,7155,,
京都市立白河総合支援学校東山分校,,京都市東山区東大路渋谷下ル妙法院前側町441,135.7757347,34.99196991,,,755613373,,0,,
京都市立東山泉小中学校 東学舎,,京都市東山区泉涌寺山内町5,135.7784351,34.97969187,,,755320355,,0,,
華頂女子高等学校,,京都市東山区林下町3-456,135.7808732,35.00700087,,,755410391,,0,,
京都女子中・高等学校,,京都市東山区今熊野北日吉町17,135.7770583,34.99011968,,,755317358,,0,,
京都女子大学,,京都市東山区今熊野北日吉町35,135.7799946,34.98854709,,,,,0,,
知恩院 和順会館,,京都市東山区林下町400-2,135.7802908,35.00466004,,,752055013,,0,,
建仁寺,,京都市東山区大和大路通四条下ル小松町,135.773616,35.0004524,,,755616363,,0,,
妙法院,,京都府京都市東山区妙法院前側町447,135.7754411,34.99037674,,,755610467,,0,,
大谷本廟,,東山区五条橋東六丁目514,135.7786159,34.99300564,,,755314171,,0,,
東福寺,,京都市東山区本町十五丁目778,135.7742207,34.97658054,,,755610087,,0,,
立正佼成会 京都教会,,京都府京都市東山区三条白川橋東入ル5丁目東町230,135.785924,35.00986187,,,757622211,,0,,
京都華頂大学・華頂短期大学(７号館 体育館),,京都市東山区林下町3-456,135.7798376,35.0068389,,,755511188,,0,,
京都市立東山泉小中学校 西学舎,,東山区大和大路通七条下ル5丁目下池田町527,135.7707738,34.98356842,,,755320377,,0,,
京都市立山階小学校,,京都市山科区西野大手先町21,135.8131355,34.98334041,,,755812143,,3653,,
京都市立鏡山小学校,,京都市山科区御陵血洗町18,135.8063132,34.99079852,,,755812183,,3688,,
京都市立音羽小学校,,京都市山科区音羽森廻り町32,135.8253539,34.98593835,,,755920001,,2313,,
京都市立勧修小学校,,京都市山科区勧修寺東栗栖野町42,135.8083147,34.97021697,,,755910003,,2126,,
京都市立安朱小学校,,京都市山科区安朱山川町17,135.8182357,34.99615224,,,755910001,,2456,,
京都市立山階南小学校,,京都市山科区東野八代10,135.8078332,34.97738655,,,755922849,,3483,,
京都市立陵ケ岡小学校,,京都市山科区御陵岡町45,135.8030005,34.99262652,,,755910002,,3119,,
京都市立大宅小学校,,京都市山科区大宅五反畑町69-2,135.8238936,34.97417966,,,755910015,,4435,,
京都市立百々小学校,,京都市山科区西野山百々町173-1,135.7961774,34.97689968,,,755933250,,4797,,
京都市立大塚小学校,,京都市山科区大塚野溝町59,135.8299903,34.98302524,,,755926141,,3088,,
京都市立音羽川小学校,,京都市山科区音羽西林36,135.8209175,34.98282343,,,755014414,,2892,,
京都市立小野小学校,,京都市山科区小野蚊ヶ瀬町2,135.8117661,34.96333347,,,755718282,,3710,,
京都市立西野小学校,,京都市山科区西野櫃川町34,135.8033864,34.98216717,,,755015700,,4144,,
京都市立山科中学校,,京都市山科区東野八反畑町50-1,135.8103557,34.97695862,,,755941151,,4508,,
京都市立音羽中学校,,京都市山科区大塚野溝町86,135.8284027,34.98286966,,,755819115,,4428,,
京都市立花山中学校,,京都市山科区北花山横田町27-1,135.8028162,34.9892649,,,755815128,,4179,,
京都市立安祥寺中学校,,京都市山科区西野今屋敷町9-6,135.8128482,34.98597074,,,755922848,,3536,,
京都市立勧修中学校,,京都市山科区勧修寺平田町92,135.8120351,34.9662452,,,755919111,,4948,,
京都市立大宅中学校,,京都市山科区大宅山田113,135.8215615,34.96705161,,,755733067,,3512,,
京都市立東総合支援学校,,京都市山科区大塚高岩3,135.8317893,34.97890683,,,755946501,,1273,,
京都市東部文化会館,,京都市山科区椥辻西浦町1-8,135.8140987,34.97635636,,,755021012,,149,,
山科地域体育館,,京都市山科区椥辻西浦町1-12,135.8133025,34.97696319,,,755959705,,735,,
京都市生涯学習総合センター山科,,京都市山科区竹鼻竹ノ街道町92 ラクト山科C棟2階,135.8176434,34.99009606,,,755931515,,347,,
京都府立洛東高等学校,,京都市山科区安朱川向町10,135.8170773,34.99683102,,,755811124,,9321,,
一燈園小学校・中学校・高等学校,,京都市山科区四ノ宮柳山町29,135.8285934,34.99559108,,,755953711,,885,,
京都薬科大学,,京都府京都市山科区御陵中内町5,135.8097586,34.99061114,,,755954600,,0,,
京都橘大学,,京都市山科区大宅山田町34,135.8261427,34.96851313,,,755711111,,0,,
東山老年サナトリウム,,京都市山科区日ノ岡夷谷町11,135.7949859,35.00065721,,,757714196,,0,,
本願寺山科別院,,京都市山科区東野狐藪町2,135.8153747,34.98339677,,,755810924,,0,,
東本願寺山科別院長福寺,,京都市山科区竹鼻サイカシ町13-17,135.8143077,34.98585722,,,755813410,,0,,
京都刑務所 鍛錬場,,京都市山科区東野井ノ上町20,135.8174237,34.97650736,,,755812171,,0,,
デイサービス 小鳥のさえずり しらかば苑,,京都市山科区厨子奥花鳥町1-144,135.7918906,35.00170488,,,757611120,,0,,
元京都市立格致小学校,,京都市下京区高辻通堀川東入西高辻町,135.7533376,35.00062639,,,753512505,,1197,,
元京都市立有隣小学校,,京都市下京区富小路通五条上ル本神明町,135.7643848,34.99715108,,,753512220,,1194,,
京都市学校歴史博物館,,京都市下京区御幸町通仏光寺下ル橘町437,135.7659172,35.00073658,,,753441305,,771,,
元京都市立安寧小学校,,京都市下京区東堀川通木津屋橋下ル御方紺屋町1,135.7525683,34.987504,,,753712515,,1767,,
京都市立淳風小学校,,京都市下京区大宮通花屋町上ル柿本町609-1,135.7495406,34.99329272,,,753513800,,1991,,
