西暦,和暦,地域コード,地域等,総数_事業所数(事業所),総数_従業者数(人),総数_製造品出荷額等(万円),食料品_事業所数(事業所),食料品_従業者数(人),食料品_製造品出荷額等(万円),飲料・たばこ・飼料_事業所数(事業所),飲料・たばこ・飼料_従業者数(人),飲料・たばこ・飼料_製造品出荷額等(万円),繊維_事業所数(事業所),繊維_従業者数(人),繊維_製造品出荷額等(万円),衣服_事業所数(事業所),衣服_従業者数(人),衣服_製造品出荷額等(万円),木材・木製品_事業所数(事業所),木材・木製品_従業者数(人),木材・木製品_製造品出荷額等(万円),家具・装備品_事業所数(事業所),家具・装備品_従業者数(人),家具・装備品_製造品出荷額等(万円),パルプ・紙_事業所数(事業所),パルプ・紙_従業者数(人),パルプ・紙_製造品出荷額等(万円),印刷_事業所数(事業所),印刷_従業者数(人),印刷_製造品出荷額等(万円),化学_事業所数(事業所),化学_従業者数(人),化学_製造品出荷額等(万円),石油・石炭_事業所数(事業所),石油・石炭_従業者数(人),石油・石炭_製造品出荷額等(万円),プラスチック製品_事業所数(事業所),プラスチック製品_従業者数(人),プラスチック製品_製造品出荷額等(万円),ゴム製品_事業所数(事業所),ゴム製品_従業者数(人),ゴム製品_製造品出荷額等(万円),皮革_事業所数(事業所),皮革_従業者数(人),皮革_製造品出荷額等(万円),窯業・土石_事業所数(事業所),窯業・土石_従業者数(人),窯業・土石_製造品出荷額等(万円),鉄鋼_事業所数(事業所),鉄鋼_従業者数(人),鉄鋼_製造品出荷額等(万円),非鉄金属_事業所数(事業所),非鉄金属_従業者数(人),非鉄金属_製造品出荷額等(万円),金属製品_事業所数(事業所),金属製品_従業者数(人),金属製品_製造品出荷額等(万円),一般機械_事業所数(事業所),一般機械_従業者数(人),一般機械_製造品出荷額等(万円),はん用機械_事業所数(事業所),はん用機械_従業者数(人),はん用機械_製造品出荷額等(万円),生産用機械_事業所数(事業所),生産用機械_従業者数(人),生産用機械_製造品出荷額等(万円),業務用機械_事業所数(事業所),業務用機械_従業者数(人),業務用機械_製造品出荷額等(万円),電子部品_事業所数(事業所),電子部品_従業者数(人),電子部品_製造品出荷額等(万円),電気機械_事業所数(事業所),電気機械_従業者数(人),電気機械_製造品出荷額等(万円),情報通信_事業所数(事業所),情報通信_従業者数(人),情報通信_製造品出荷額等(万円),輸送用機械_事業所数(事業所),輸送用機械_従業者数(人),輸送用機械_製造品出荷額等(万円),精密機械_事業所数(事業所),精密機械_従業者数(人),精密機械_製造品出荷額等(万円),その他_事業所数(事業所),その他_従業者数(人),その他_製造品出荷額等(万円)
2011年,平成23年,26343,綴喜郡井手町,47,672,1426110,4,153,X,3,29,110208,11,60,45393,-,-,-,2,15,X,3,10,7501,2,198,X,4,9,7350,-,-,-,-,-,-,3,23,X,-,-,-,-,-,-,3,21,51856,-,-,-,-,-,-,7,133,X,-,-,-,1,4,X,2,2,X,1,7,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,X
2011年,平成23年,26344,綴喜郡宇治田原町,88,2300,5104206,4,305,422791,22,189,546650,2,9,X,-,-,-,3,10,X,3,13,12102,6,233,X,4,61,X,-,-,-,1,5,X,5,100,X,-,-,-,-,-,-,2,71,X,1,4,X,1,3,X,15,473,X,-,-,-,-,-,-,14,693,1615623,1,47,X,-,-,-,-,-,-,1,2,X,1,58,X,-,-,-,2,24,X
2011年,平成23年,26364,相楽郡笠置町,10,62,X,1,7,X,-,-,-,2,10,X,-,-,-,1,3,X,-,-,-,-,-,-,-,-,-,1,13,X,-,-,-,1,4,X,1,8,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,X,-,-,-,2,11,X,-,-,-,-,-,-
2011年,平成23年,26365,相楽郡和束町,39,255,285784,1,3,X,25,176,226010,2,4,X,-,-,-,-,-,-,1,1,X,1,3,X,-,-,-,1,5,X,-,-,-,1,3,X,-,-,-,1,3,X,2,5,X,-,-,-,1,3,X,1,4,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,45,X
2011年,平成23年,26366,相楽郡精華町,35,557,777172,3,14,X,-,-,-,5,23,6269,-,-,-,-,-,-,1,1,X,1,12,X,2,11,X,1,1,X,-,-,-,2,40,X,-,-,-,-,-,-,3,52,X,-,-,-,1,3,X,1,40,X,-,-,-,1,2,X,4,24,95643,4,105,278331,-,-,-,5,219,X,-,-,-,1,10,X,-,-,-,-,-,-
2011年,平成23年,26367,相楽郡南山城村,8,70,X,-,-,-,6,63,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,X
2011年,平成23年,26407,船井郡京丹波町,82,1406,2633173,6,117,X,4,45,100105,11,76,52963,-,-,-,5,19,X,3,8,2944,2,54,X,2,6,X,4,55,141981,1,19,X,5,161,259455,-,-,-,1,2,X,9,69,143325,1,1,X,2,24,X,6,57,X,-,-,-,2,5,X,7,62,X,2,79,X,1,41,X,4,497,X,-,-,-,-,-,-,-,-,-,4,9,X
2011年,平成23年,26463,与謝郡伊根町,21,77,32304,1,24,X,1,7,X,16,39,6596,-,-,-,1,2,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011年,平成23年,26465,与謝郡与謝野町,724,2346,2525878,14,172,X,2,6,X,634,1526,631111,-,-,-,3,20,X,8,29,29099,-,-,-,2,13,X,-,-,-,-,-,-,3,22,X,1,22,X,-,-,-,7,50,X,4,141,X,3,7,2232,8,29,22606,-,-,-,1,3,X,10,24,X,1,1,X,6,134,101825,7,91,X,1,7,X,3,14,X,-,-,-,6,35,X
2011年,平成23年,-,従業者数_1〜3人,6183,11762,7790871,239,534,339708,55,122,177609,3311,5993,2000829,-,-,-,151,289,160758,299,568,327052,110,225,169104,324,666,427623,25,56,184674,6,13,72822,107,225,1802245,8,15,8810,54,112,49833,198,380,234090,44,78,96832,32,65,78228,328,654,469236,-,-,-,78,159,116140,306,595,461923,60,112,83068,43,96,66514,86,179,153895,3,6,4225,34,63,29950,-,-,-,282,557,275703
2011年,平成23年,-,従業者数_4〜9人,2892,16820,19960851,247,1504,2296136,77,461,699153,743,4173,3604888,-,-,-,94,543,645416,123,681,808998,116,675,706759,216,1287,1702623,37,225,405141,8,51,249980,109,628,620864,4,25,28322,16,94,117438,125,731,1157704,28,157,457781,18,95,111560,254,1546,1938082,-,-,-,47,277,328128,225,1315,1562115,61,358,359707,44,260,377201,98,564,642965,5,40,25562,51,313,344902,-,-,-,146,817,769426
2011年,平成23年,-,従業者数_10〜19人,1122,15189,25696667,102,1410,2614014,35,446,1116331,208,2750,3273889,-,-,-,16,207,314423,24,320,471491,35,475,650809,95,1249,2954385,28,391,996863,4,59,248345,47,648,889599,4,51,153168,12,150,193069,46,635,1985736,15,205,467242,7,94,415291,107,1466,2346487,-,-,-,19,287,529338,121,1695,2713616,40,546,756089,22,314,328822,76,1009,1200864,9,119,77452,19,262,369117,-,-,-,31,401,630227
2011年,平成23年,-,従業者数_20〜29人,526,12681,23257138,75,1826,2985576,14,329,1088619,68,1633,1940947,-,-,-,4,101,493891,7,167,X,20,456,679456,38,906,1332109,16,370,765618,2,46,X,30,762,1391903,3,67,116940,2,48,X,8,189,344174,9,202,1173161,5,123,531092,51,1270,1962013,-,-,-,11,261,243030,52,1243,2279331,23,536,882925,16,367,639405,38,926,2742958,5,131,161372,14,339,654894,-,-,-,15,383,468303
2011年,平成23年,-,従業者数_30〜49人,355,13843,29278139,45,1748,2581175,13,473,1013776,37,1342,1769295,-,-,-,2,86,X,7,280,501544,17,658,1565210,26,1063,1444787,10,410,1489197,1,47,X,22,886,1462798,-,-,-,-,-,-,7,288,348063,5,206,947161,3,100,X,30,1193,2212203,-,-,-,5,206,233896,54,2099,4405735,15,579,1663679,12,502,2306842,28,1052,1746270,3,105,143594,8,307,426457,-,-,-,5,213,558681
2011年,平成23年,-,従業者数_50〜99人,234,15893,45737623,46,3048,8757670,7,481,5395808,10,649,533666,-,-,-,4,243,587091,1,65,X,9,573,2820779,16,1030,1913506,7,535,3652269,-,-,-,17,1180,1964121,2,170,X,-,-,-,8,573,1385714,2,133,X,5,317,1760255,18,1231,3134752,-,-,-,6,411,1069511,28,1978,4601039,13,858,2604332,7,477,831771,14,1022,2052646,1,54,X,8,555,1232203,-,-,-,5,310,433937
2011年,平成23年,-,従業者数_100〜199人,146,20215,82624904,34,4893,17571997,5,836,19728449,3,447,X,-,-,-,2,268,X,-,-,-,4,510,X,6,829,4102101,12,1602,5075115,-,-,-,2,209,X,1,165,X,1,125,X,1,155,X,3,324,2079286,5,599,2393917,6,852,2086632,-,-,-,4,602,2673078,12,1678,7471141,2,262,X,12,1718,5151412,22,2875,5763455,2,288,X,5,722,X,-,-,-,2,256,X
2011年,平成23年,-,従業者数_200〜299人,44,10426,36415613,5,1200,2042306,2,429,X,1,258,X,-,-,-,1,209,X,-,-,-,1,228,X,-,-,-,3,674,X,-,-,-,3,677,2311121,-,-,-,-,-,-,2,462,X,1,236,X,-,-,-,3,721,X,-,-,-,1,258,X,8,1972,8340937,2,485,X,5,1271,4713087,3,678,1437403,-,-,-,2,466,X,-,-,-,1,202,X
2011年,平成23年,-,従業者数_300人以上,46,32770,240833861,5,2692,6855368,1,529,X,-,-,-,-,-,-,-,-,-,-,-,-,1,402,X,3,1990,11435234,2,646,X,-,-,-,1,746,X,1,309,X,-,-,-,2,1091,X,-,-,-,1,481,X,2,748,X,-,-,-,2,1211,X,-,-,-,5,5499,22128639,4,3885,20122484,6,4324,15286745,2,1666,X,7,6201,51610773,-,-,-,1,350,X
