観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
与謝野町滝,その他,135.0675,35.47944444,2016/5/27,,1,,浄化センター付近でクマを目撃した。,,滝地区FM告知,26465,与謝野町
与謝野町幾地,路上,135.0886111,35.53722222,2016/5/29,,1,,平地峠を車で走行中に西から東へ横断するクマを目撃した。,,,26465,与謝野町
京丹後市久美浜町須田,畑,134.925,35.56527778,2016/5/29,,,1,クマの糞を発見した。,,,26212,京丹後市
宮津市小田宿野,その他,135.2630556,35.55611111,2016/5/30,1,1,,宮津市海洋釣り場の遊歩道で釣り客がクマの親子を目撃した。,,,26205,宮津市
舞鶴市赤野,集落内,135.3895194,35.52317778,2016/5/30,1,,,住宅付近で目撃。山へ移動,２ｍ,,26202,舞鶴市
京都市右京区梅ヶ畑川西,スギ林,135.6812389,35.08331389,2016/5/30,,,1,有害捕獲作業中に熊剥ぎされた杉の木を発見,,,26108,京都市
京都市右京区梅ヶ畑谷山川西,スギ林,135.6537722,35.068125,2016/5/30,,,1,有害捕獲作業中に熊剥ぎされた杉の木を発見,,,26108,京都市
宮津市獅子,その他,135.2105556,35.56222222,2016/5/31,,1,,宮津湾浄化センター敷地内で子グマを発見した。,６０cm,市職員とセンター職員により追い払った。,26205,宮津市
京丹後市弥栄町等楽寺,その他,135.11,35.65527778,2016/5/31,1,,,有害の捕獲許可をうけたくくりわなにクマが誤捕獲された。,オス　体重１１３kg,計測後放獣,26212,京丹後市
舞鶴市小倉,路上,135.4236556,35.46847222,2016/5/31,1,,,小倉地内、主要地方道小倉西舞鶴線の東側から路上に出てきたクマを目撃。引き返し、東側山中に移動,,,26202,舞鶴市
京都市右京区京北井戸町,路上,135.6694444,35.205,2016/5/31,,1,,府道走行中にクマを目撃,,,26108,京都市
南丹市日吉町,路上,135.5361111,35.13833333,2016/5/31,1,,,道路を横断するクマを目撃。,100cmくらい,,26213,南丹市
