観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
京丹後市久美浜町谷,その他,134.95,35.58138889,2016/10/30,1,,,有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,オス　体重53kg,計測後放獣,26212,京丹後市
京丹波町市場,その他,135.4283333,35.26,2016/10/30,,,1,新聞配達の途中に山へ移動するクマを目撃。,,,26407,京丹波町
福知山市大江町南有路,天然生林,135.1922472,35.39048056,2016/10/30,,,1,車で走行中、山の方へ移動するクマを目撃,,,26201,福知山市
綾部市物部町,路上,135.2164278,35.33960278,2016/10/30,1,2,,村上商事近くの府道沿いに館町の高谷ニュータウン方面へ歩いているクマを目撃,,,26203,綾部市
綾部市五泉町,集落内,135.4167278,35.40917222,2016/10/30,1,,,自宅前のカキの木の下にいた。前日にも来ていてカキの木が折れていた。,,,26203,綾部市
綾部市釜輪町,水田,135.342025,35.30263333,2016/10/30,,,,痕跡　カキの実を食べ、近くにフンを残していた,,,26203,綾部市
綾部市篠田町,集落内,135.2674056,35.36812778,2016/10/30,,,,痕跡　自宅近くのカキの木周辺にフン,,,26203,綾部市
京丹後市弥栄町和田野,集落内,135.0838889,35.66027778,2016/10/30,,,1,集落内で糞を確認した。,,,26212,京丹後市
京丹後市弥栄町和田野,集落内,135.0838889,35.66,2016/10/30,,,1,集落内で柿の被害を確認した。,,,26212,京丹後市
京丹後市弥栄町和田野,集落内,135.0847222,35.66,2016/10/30,,,1,集落内で柿の被害を確認した。,,,26212,京丹後市
舞鶴市城屋,集落内,135.2979389,35.42109167,2016/10/30,1,,,河原橋へ350ｍほどの地点で目撃,,,26202,舞鶴市
舞鶴市森,天然生林,135.3742917,35.45839167,2016/10/30,,1,,リサイクルプラザ付近で子グマを目撃。南の山へ移動,,,26202,舞鶴市
福知山市猪野々,集落内,135.0413639,35.32613611,2016/10/30,,,1,猪野々公民館の前で目撃,,,26201,福知山市
与謝野町滝,集落内,135.0683333,35.48055556,2016/10/31,,,1,有害捕獲後も被害が続いている。,,,26465,与謝野町
京丹後市弥栄町和田野,集落内,135.0827778,35.66388889,2016/10/31,,,1,市営住宅付近の山手の方にクマがいた。,,,26212,京丹後市
京丹後市網野町木津,果樹園,134.9725,35.64472222,2016/10/31,,,1,果樹園のナシがくまによる被害を受けた。,,,26212,京丹後市
与謝野町与謝,その他,135.0811111,35.4625,2016/10/31,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重64kg　全長直119cm,捕殺,26465,与謝野町
宮津市小田,その他,135.1847222,35.50333333,2016/10/31,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重95kg　全長直137cm,捕殺,26205,宮津市
福知山市雲原,路上,135.0689222,35.43705833,2016/10/31,1,,,道路を車で走行中、目撃,,,26201,福知山市
綾部市八津合町,路上,135.4105694,35.36772778,2016/10/31,,,1,林道を北側に移動,,,26203,綾部市
綾部市八津合町,集落内,135.3999333,35.36193889,2016/10/31,,,,痕跡　集落内のカキ、トタンを巻いているが食べられている。,,,26203,綾部市
綾部市十倉名畑町,集落内,135.3431361,35.33361944,2016/10/31,,,1,カキの木に登っているのを目撃。防護柵を乗り越え山側へ移動,,,26203,綾部市
京丹後市網野町木津,その他,134.9736111,35.64333333,2016/10/31,,1,,有害捕獲許可のもと柿や梨に被害を与えており、逃げないクマを銃殺した。,オス　体重37kg　全長直87.5cm,捕殺,26212,京丹後市
京丹後市久美浜町尉ヶ畑,集落内,134.9786111,35.54472222,2016/10/31,,,1,ワイヤーメッシュを倒された。家の周囲に糞がある。,,,26212,京丹後市
京丹後市丹後町袖志,その他,135.2230556,35.77,2016/10/31,,,1,養蜂場の養蜂箱が被害をうけた。,,,26212,京丹後市
舞鶴市真倉,路上,135.3143333,35.38720833,2016/10/31,1,,,ＪＲ舞鶴線真倉駅近くの線路内において、東舞鶴発綾部行き普通電車と衝突。猟友会が死亡を確認し線路外へ移した,120ｃｍ,個体の処理をＪＲに依頼,26202,舞鶴市
福知山市石場,集落内,135.0600944,35.28703611,2016/10/31,1,2,,自宅外のトイレに行った際、カキとイチジクの木に登っている子グマ２頭を目撃。その後、親と思われるクマに襲われ、太ももをかまれるなどの怪我を負った。,,捕獲許可により檻設置中,26201,福知山市
与謝野町温江,集落内,135.1058333,35.49611111,2016/11/1,1,,,走っているクマを目撃した。,,,26465,与謝野町
与謝野町幾地,その他,135.0869444,35.54138889,2016/11/1,,,1,平地峠で柿の木の被害を発見した。,,,26465,与謝野町
京都市左京区大原,路上,135.8358333,35.14027778,2016/11/1,1,,,国道走行中に国道を横断するクマを目撃,,,26103,京都市
京丹後市峰山町荒山,集落内,135.0891667,35.61416667,2016/11/1,1,,,畑の柿の木の上で柿を食べているクマを目撃した。,,,26212,京丹後市
与謝野町金屋,集落内,135.0986111,35.4875,2016/11/1,,,1,民家付近で柿の木の被害を確認した。,,,26465,与謝野町
与謝野町金屋,集落内,135.0966667,35.48638889,2016/11/1,,,1,民家付近で柿の木の被害を確認した。,,,26465,与謝野町
京丹後市久美浜町奥馬地,その他,134.8836111,35.58138889,2016/11/1,,,1,列車走行中にクマと接触した。,,,26212,京丹後市
京丹波町本庄,その他,135.4055556,35.26361111,2016/11/1,,1,,町道を横切り、山へ向かうクマを目撃。,,,26407,京丹波町
福知山市樽水,路上,135.0421472,35.27604722,2016/11/1,,1,,車で走行中、目撃,,,26201,福知山市
京丹後市久美浜町安養寺,畑,134.9622222,35.57805556,2016/11/2,,1,,柿の木畑の中でクマを目撃した。,,,26212,京丹後市
与謝野町与謝,集落内,135.0808333,35.46277778,2016/11/2,,,1,民家付近で柿の木の被害を確認した。,,,26465,与謝野町
宮津市中野,畑,135.1880556,35.58166667,2016/11/2,,,1,畑の周りにある柿の木が被害をうけており、糞が確認された。,,,26205,宮津市
京都市右京区京北田貫町,路上,135.619525,35.19734444,2016/11/2,1,,,府道を横断する熊を目撃,,,26108,京都市
与謝野町与謝,集落内,135.0936111,35.45638889,2016/11/2,,,1,山荘付近でクマを目撃した。,,,26465,与謝野町
京丹波町升谷,集落内,135.4261111,35.25194444,2016/11/2,,1,,町道を車で走行中、町道から升谷地区処理場へ歩くクマを見た。,,,26407,京丹波町
綾部市里町,集落内,135.2638167,35.31098333,2016/11/2,,,,痕跡　１０月から11月にかけ、カキの木の枝折れ、登った形跡。近くにクリの木もあり,,,26203,綾部市
綾部市栗町,畑,135.228875,35.31528056,2016/11/2,,,,痕跡　畑に足跡。周辺にクマによるカキの食害、フン,,,26203,綾部市
綾部市仁和町,集落内,135.2340806,35.38284167,2016/11/2,,,1,自宅庭カキの木から北側の山へ逃げた,,,26203,綾部市
綾部市八津合町,路上,135.4074556,35.36529722,2016/11/2,,1,,府道を車で西から東へ走行中、クマが府道を横断し北側の山へ逃げた,100cm,,26203,綾部市
綾部市豊里町,集落内,135.2170639,35.32067778,2016/11/2,,,,痕跡　カキの木の下にフンがあり、カキの実は無くなっていた,,,26203,綾部市
福知山市上佐々木,集落内,135.0421694,35.39328333,2016/11/2,1,,,バス停付近のカキの木にクマが登っているのを目撃,,,26201,福知山市
舞鶴市吉坂,集落内,135.4522972,35.48659444,2016/11/2,1,,,松尾寺北側で目撃,,,26202,舞鶴市
京丹後市久美浜町尉ヶ畑,集落内,134.9769444,35.54027778,2016/11/3,,,1,クマを目撃した。,,,26212,京丹後市
与謝野町金屋,集落内,135.0955556,35.48694444,2016/11/3,,,1,柿の木のところにクマがいた。,,,26465,与謝野町
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/11/3,,,1,集落内の柿の木が折害、食害をうけており、糞も確認した。,,,26212,京丹後市
与謝野町滝,その他,135.0663889,35.47888889,2016/11/3,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重94kg　全長直135.5cm,捕殺,26465,与謝野町
与謝野町石川川上,その他,135.1505556,35.52444444,2016/11/3,,1,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重45kg　全長直113.5cm,捕殺,26465,与謝野町
京丹後市峰山町新町,集落内,135.0894444,35.60777778,2016/11/3,,,1,柿の木がクマにやられた。,,,26212,京丹後市
与謝野町温江,路上,135.1066667,35.49777778,2016/11/3,,,1,トラックの運転手が目撃した。,,,26465,与謝野町
伊根町本庄宇治,路上,135.2608333,35.73166667,2016/11/3,1,,,散歩中にクマを目撃した。,,,26463,伊根町
綾部市多田町,集落内,135.2727833,35.31578611,2016/11/3,,,,痕跡　２日に自宅裏の畑から物音。３日にカキの木に爪痕,,,26203,綾部市
綾部市和木町,集落内,135.2908889,35.27811944,2016/11/3,1,,,カキの木に登っていた,,,26203,綾部市
福知山市拝師,集落内,135.077125,35.29482222,2016/11/3,,,1,カキの木辺りをウロウロした後、裏山へ立ち去り,,,26201,福知山市
舞鶴市三日市,集落内,135.2665611,35.44771667,2016/11/3,,2,,三日市地内で子グマ２頭を目撃,,,26202,舞鶴市
綾部市十倉名畑町,集落内,135.3431667,35.33373889,2016/11/3,1,,,有害の捕獲許可を受けている捕獲檻にクマが捕獲された。,1282mm、67kg、老齢、オス,計測後捕殺,26203,綾部市
舞鶴市朝来中,路上,135.4339,35.50288611,2016/11/3,1,,,朝来中地内で目撃。北西方向へ移動,,,26202,舞鶴市
宮津市由良,その他,135.2788889,35.50888889,2016/11/4,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重85kg　全長直122.5cm,捕殺,26205,宮津市
宮津市下石浦,その他,135.2805556,35.505,2016/11/4,,1,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重30kg　全長直81cm,捕殺,26205,宮津市
与謝野町与謝,その他,135.0816667,35.465,2016/11/4,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重53kg　全長直116.3cm,捕殺,26465,与謝野町
与謝野町香河,その他,135.1366667,35.50111111,2016/11/4,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重60kg　全長直111.4cm,捕殺,26465,与謝野町
京丹後市丹後町三宅,集落内,135.1027778,35.71611111,2016/11/4,,,1,集落内の柿の木が被害を受けている。,,,26212,京丹後市
京丹後市丹後町三宅,集落内,135.1033333,35.71638889,2016/11/4,,,1,集落内の柿の木が被害を受けている。,,,26212,京丹後市
京丹後市網野町島津,路上,135.055,35.67472222,2016/11/4,,,1,右手の山から下りてきた。,,,26212,京丹後市
京丹後市網野町木津,集落内,134.9755556,35.65111111,2016/11/4,,,1,集落内の柿の木にクマが登っているのを目撃した。,,,26212,京丹後市
京丹後市峰山町新町,集落内,135.0894444,35.60777778,2016/11/4,,,1,柿の木がクマにやられた。,,,26212,京丹後市
与謝野町岩滝,集落内,135.1488889,35.56583333,2016/11/4,,,1,西光寺付近でクマを目撃した。,,,26465,与謝野町
綾部市上杉町,集落内,135.3159833,35.35457222,2016/11/4,,,,痕跡　爪痕,,,26203,綾部市
舞鶴市桑飼下,集落内,135.2326806,35.42519444,2016/11/4,,,1,桑飼下共同墓地付近で目撃。山の方へ移動,,,26202,舞鶴市
舞鶴市堂奥,路上,135.4200361,35.46265833,2016/11/4,1,,,舞鶴東インター前で目撃。北側へ移動,,,26202,舞鶴市
綾部市鷹栖町,集落内,135.3122972,35.29650833,2016/11/4,,,,痕跡　自宅庭のカキの木に爪痕、フン,,,26203,綾部市
南丹市美山町芦生,その他,135.7025,35.30611111,2016/11/4,,1,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,1040mm、75kg、メス（捕獲歴なし）,計測後捕殺,26213,南丹市
与謝野町香河,その他,135.1352778,35.50222222,2016/11/5,,1,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重29kg　全長直86cm,捕殺,26465,与謝野町
与謝野町滝,路上,135.0561111,35.47777778,2016/11/5,,,1,道路を走行中にクマを目撃した。,,,26465,与謝野町
与謝野町金屋,集落内,135.0927778,35.49111111,2016/11/5,,,1,民家裏でつるし柿の被害と柿の木の被害を確認した。,,,26465,与謝野町
与謝野町石川,集落内,135.1291667,35.52916667,2016/11/5,,,1,民家付近で柿の木の被害を確認した。,,,26465,与謝野町
与謝野町石川,畑,135.1394444,35.52305556,2016/11/5,,,2,２つの異なる大きさの足跡を確認した。,,,26465,与謝野町
京丹後市久美浜町畑,集落内,134.9319444,35.55166667,2016/11/5,,,1,家の前にクマの糞があった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/11/5,,,1,民家敷地内の柿の木がクマにやられていた。,,カキは全て除去,26212,京丹後市
京丹後市大宮町三坂,集落内,135.1052778,35.57638889,2016/11/5,,,1,屋外でガサガサ音をさせていた。,,,26212,京丹後市
京丹後市大宮町三坂,集落内,135.1033333,35.57722222,2016/11/5,,,1,集落内でクマの痕跡を確認した。,,,26212,京丹後市
京丹後市大宮町三坂,集落内,135.1052778,35.57694444,2016/11/5,,,1,集落内でクマの痕跡を確認した。,,,26212,京丹後市
京丹後市大宮町三坂,集落内,135.1038889,35.57666667,2016/11/5,,,1,集落内でクマの痕跡を確認した。,,,26212,京丹後市
与謝野町幾地,路上,135.0886111,35.53833333,2016/11/5,,,1,平地峠で目撃した。,,,26465,与謝野町
綾部市物部町,集落内,135.2179194,35.35766944,2016/11/5,,,1,集落内で目撃。この１時間後に、綾部作業所周辺でも目撃,立つと人間より大きい,,26203,綾部市
綾部市西方町,集落内,135.2218139,35.37460556,2016/11/5,,,1,住宅敷地内のカキの木にいた,,,26203,綾部市
綾部市十倉名畑町,路上,135.346975,35.33812222,2016/11/5,1,,,いこいの村進入路付近で目撃,,,26203,綾部市
舞鶴市行永,集落内,135.403425,35.45866944,2016/11/5,,,1,行永地内で目撃,,,26202,舞鶴市
綾部市八津合町,集落内,135.4087667,35.36616111,2016/11/5,,,1,自宅裏で目撃。北側の山へ移動,,,26203,綾部市
京都市右京区京北細野町,集落内,135.6259833,35.127325,2016/11/5,1,,,柿の木に登っているクマを目撃,,,26108,京都市
京丹後市弥栄町吉沢,路上,135.0869444,35.6375,2016/11/6,1,,,道路を横断するクマを見た。,中型くらい,,26212,京丹後市
与謝野町岩滝,集落内,135.1583333,35.57388889,2016/11/6,,,1,糞を発見した。,,,26465,与謝野町
京丹後市網野町木津,集落内,134.9761111,35.65055556,2016/11/6,,,1,庭にある柿の木でクマを目撃した。,,,26212,京丹後市
京丹後市網野町三津,路上,135.0686111,35.71583333,2016/11/6,1,,,海側から山側へ路上を横断するクマを目撃した。,,,26212,京丹後市
舞鶴市登尾,路上,135.4466167,35.50812222,2016/11/6,1,,,登尾地内で目撃,,,26202,舞鶴市
綾部市下原町,集落内,135.3120722,35.29706667,2016/11/6,,,1,下原町野毛地内で目撃,,,26203,綾部市
京丹後市久美浜町三分,集落内,134.9488889,35.63472222,2016/11/6,,,1,集落内で柿の被害が出ている。,,,26212,京丹後市
京丹後市久美浜町三分,集落内,134.9491667,35.63361111,2016/11/6,,,1,集落内で柿の被害が出ている。,,,26212,京丹後市
京丹後市久美浜町三分,集落内,134.9480556,35.63333333,2016/11/6,,,1,集落内で柿の被害が出ている。,,,26212,京丹後市
宮津市国分,集落内,135.1741667,35.57583333,2016/11/6,,,1,柿の木にクマがきていた。,,,26205,宮津市
宮津市石浦,その他,135.2838889,35.49666667,2016/11/7,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重75kg　全長直124cm,捕殺,26205,宮津市
京丹後市弥栄町和田野,集落内,135.0830556,35.66027778,2016/11/7,,,1,集落内の柿の木が被害を受けている。,,,26212,京丹後市
京丹後市弥栄町和田野,集落内,135.0838889,35.66,2016/11/7,,,1,集落内の柿の木が被害を受けている。,,,26212,京丹後市
京丹後市弥栄町和田野,集落内,135.0847222,35.66,2016/11/7,,,,集落内の柿の木が被害を受けている。,,,26212,京丹後市
京丹後市弥栄町和田野,集落内,135.0805556,35.66527778,2016/11/7,,,1,集落内の柿の木が被害を受けている。,,,26212,京丹後市
与謝野町与謝,集落内,135.0797222,35.46194444,2016/11/7,,,1,大豆、米乾燥施設付近で目撃した。,,,26465,与謝野町
与謝野町与謝,集落内,135.0816667,35.46194444,2016/11/7,,,1,民家付近で糞を発見した。,,,26465,与謝野町
京丹後市網野町木津,集落内,134.9761111,35.65055556,2016/11/7,,,1,庭にある柿の木でクマを目撃した。,,,26212,京丹後市
京丹後市網野町島津,集落内,135.0511111,35.6775,2016/11/7,,,1,柿の木の枝が折れていて、クマの糞が落ちていた。,,,26212,京丹後市
与謝野町香河,集落内,135.1363889,35.50166667,2016/11/7,,,1,柿の木の被害と糞を発見した。,,,26465,与謝野町
与謝野町男山,集落内,135.1611111,35.57777778,2016/11/7,,,1,浄水場付近で目撃した。,,,26465,与謝野町
与謝野町下山田,路上,135.1247222,35.54277778,2016/11/7,,,1,ランニングしていた人が自転車道で目撃した。,,,26465,与謝野町
舞鶴市大川,路上,135.2590667,35.44448333,2016/11/7,1,1,,大川神社前の信号から志高方向へ300ｍ付近、国道175号上で目撃。由良川方向に移動,,,26202,舞鶴市
舞鶴市城屋,路上,135.3004806,35.43024722,2016/11/7,,3,,城屋橋付近で目撃,,,26202,舞鶴市
綾部市八津合町,集落内,135.4075694,35.36543333,2016/11/7,,,1,集落内で目撃。北側の山へ移動,,,26203,綾部市
綾部市戸奈瀬町,集落内,135.3356861,35.27835,2016/11/7,,,1,家ノ後の自販機広場を歩いている,,,26203,綾部市
綾部市戸奈瀬町,集落内,135.3357028,35.27851944,2016/11/7,,,,痕跡　稲荷神社付近一帯に出没の痕跡,,,26203,綾部市
綾部市鷹栖町,集落内,135.3114139,35.299825,2016/11/7,,,,痕跡　カキの木に爪痕,,,26203,綾部市
綾部市物部町,畑,135.2302306,35.35378056,2016/11/7,,,,痕跡　カキの木の枝折れ、食害、フン,,,26203,綾部市
綾部市西坂町,集落内,135.2014306,35.36683333,2016/11/7,,,3,自宅裏に２頭、少し離れたところに１頭。すぐに山に逃げていった,２頭が１ｍくらい、１頭は不明,,26203,綾部市
舞鶴市松尾,路上,135.4464917,35.48587778,2016/11/7,1,,,松尾寺駅から東舞鶴駅方面に５００ｍほど（胡麻迫踏切の近く）山から海方向へ移動,,,26202,舞鶴市
宮津市小松,集落内,135.1811111,35.58,2016/11/7,,,1,柿の木の被害を確認した。,,,26205,宮津市
宮津市小松,集落内,135.1822222,35.58,2016/11/7,,,1,柿の木の被害を確認した。,,,26205,宮津市
宮津市小松,畑,135.1825,35.58055556,2016/11/7,,,1,柿の木の被害を確認した。,,,26205,宮津市
宮津市小松,畑,135.1847222,35.58055556,2016/11/7,,,1,柿の木の被害を確認した。,,,26205,宮津市
京丹後市網野町浅茂川,その他,135.0172222,35.68638889,2016/11/7,,,1,集落内で足跡が数カ所確認された。,,,26212,京丹後市
舞鶴市万願寺,集落内,135.339675,35.42673333,2016/11/7,,,1,万願寺集会所から西へ50ｍ付近で目撃。南の山へ移動,,,26202,舞鶴市
舞鶴市与保呂,集落内,135.4262028,35.44731667,2016/11/7,,,1,与保呂集会所から北へ２００ｍ付近で目撃,,,26202,舞鶴市
舞鶴市今田,集落内,135.3402944,35.42270833,2016/11/7,,,1,常徳寺から西へ200ｍ付近で目撃,,,26202,舞鶴市
与謝野町金屋,集落内,135.0983333,35.48777778,2016/11/8,,,1,クマの糞があり、カキを食べられていた。,,,26465,与謝野町
京都市左京区久多,集落内,135.8239806,35.26390833,2016/11/8,1,,,柿の木に登っているクマを目撃,,,26103,京都市
京丹後市久美浜町三原,その他,134.9805556,35.62472222,2016/11/8,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重８５kg　全長直131cm,捕殺,26212,京丹後市
京丹後市峰山町小西,集落内,135.0305556,35.6125,2016/11/8,,,1,集落内で柿の被害が出ている。,,,26212,京丹後市
京丹後市丹後町此代,路上,135.1469444,35.74833333,2016/11/8,,,1,山の方へ向かって歩いていくクマを目撃した。,130cmくらい,,26212,京丹後市
京都市右京区京北宇野町,集落内,135.5818667,35.16813333,2016/11/8,,,1,集落内でのカキの被害,,,26108,京都市
与謝野町明石,その他,135.1202778,35.50694444,2016/11/8,,,1,明石浄水場付近でクマを目撃した。,,,26465,与謝野町
綾部市私市町,集落内,135.1948389,35.31485278,2016/11/8,,,,痕跡　夜に自宅裏で物音とセンサーライト。翌日カキの木の枝折れ、食害、フンを確認,,,26203,綾部市
舞鶴市下東,集落内,135.2881889,35.46091111,2016/11/8,1,2,,下東公民か横から入ったところの作業場で目撃,,,26202,舞鶴市
京丹後市久美浜町甲坂,集落内,134.9033333,35.58277778,2016/11/9,,,1,新聞を取りに外へ出たら、クマがいた。,,,26212,京丹後市
宮津市難波野,その他,135.2008333,35.585,2016/11/9,,,1,柿の木に被害を確認した。付近に糞も落ちていた。,,,26205,宮津市
宮津市宮村,集落内,135.1958333,35.52916667,2016/11/9,,,1,通行中の車よりスーパー付近にいるクマを目撃した。,,,26205,宮津市
宮津市皆原,集落内,135.2105556,35.535,2016/11/9,1,1,,グンゼ社宅周辺の細道で親子グマを確認した。,,,26205,宮津市
宮津市国分,集落内,135.1741667,35.57583333,2016/11/9,,,1,柿の木に登っているクマを確認した。,,,26205,宮津市
宮津市須津,路上,135.1669444,35.55083333,2016/11/9,1,,,国道で車と衝突した。,大きかった。,,26205,宮津市
宮津市奥波見,路上,135.2313889,35.63111111,2016/11/9,,,1,自動車で移動中に山の中へ向かうクマを目撃した。,,,26205,宮津市
宮津市下世屋,路上,135.215,35.62833333,2016/11/9,1,,,山から下りてきて府道を横断して川へおりた。,中くらい,,26205,宮津市
綾部市志賀郷町,集落内,135.2393333,35.36738333,2016/11/9,,1,,南町自宅から南の方へ移動するクマを目撃,,,26203,綾部市
綾部市西方町,集落内,135.2345472,35.37610833,2016/11/9,,,1,自宅から目撃,,,26203,綾部市
綾部市別所町,集落内,135.2623167,35.37595556,2016/11/9,1,,,自宅に帰宅時、目撃,１ｍ,,26203,綾部市
福知山市日尾,路上,135.0590861,35.351525,2016/11/9,1,,,426号線を豊岡方向へ車走行中、道ばたにいるクマを目撃。ライトに驚いて南西の山へ,,,26201,福知山市
京都市左京区久多,路上,135.7995139,35.26650556,2016/11/10,,2,,府道を横断する小熊２頭を目撃,,,26103,京都市
与謝野町滝,その他,135.0861111,35.47888889,2016/11/10,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重58kg　全長直116.5cm,捕殺,26465,与謝野町
与謝野町男山,集落内,135.1625,35.57416667,2016/11/10,,1,,山側へ移動する子グマを目撃した。,,,26465,与謝野町
宮津市難波野,集落内,135.2013889,35.58416667,2016/11/10,,,1,柿の木を揺さぶっていた。,,,26205,宮津市
宮津市小寺,水田,135.2386111,35.53888889,2016/11/10,1,,,畑から丹鉄線路方向へ移動するクマを目撃した。,,,26205,宮津市
京丹後市久美浜町新町,集落内,134.8916667,35.60666667,2016/11/10,,,1,カキのタネが混じった糞を発見した。,,,26212,京丹後市
京丹後市久美浜町海士,集落内,134.9316667,35.59194444,2016/11/10,1,,,久美浜高校付近でクマを目撃した。,,,26212,京丹後市
京丹後市大宮町周枳,畑,135.1019444,35.58583333,2016/11/10,,,1,畑の柿の木が折られ、糞もあった。,,,26212,京丹後市
宮津市溝尻,集落内,135.1861111,35.57777778,2016/11/10,,,1,糞があった。,,,26205,宮津市
伊根町本庄上,集落内,135.2513889,35.71444444,2016/11/10,1,,,４〜５日間連続でクマが柿を食べにきていた。,,,,伊根町
伊根町本庄上,集落内,135.2519444,35.72305556,2016/11/10,,,1,寺の横の柿の木を折って実をたべつくしていた。,,,,伊根町
舞鶴市蒲江,路上,135.2847833,35.48666111,2016/11/10,,1,,中坪踏切付近で目撃,,,26202,舞鶴市
舞鶴市野村寺,路上,135.3047583,35.43128611,2016/11/10,1,2,,野村寺地内で目撃。北側に移動,,,26202,舞鶴市
舞鶴市佐波賀,天然生林,135.3684889,35.505275,2016/11/10,,,1,佐波賀地内で目撃,,,26202,舞鶴市
京都市左京区花脊,路上,135.7686889,35.23768056,2016/11/11,1,,,河原から府道を横断するクマを目撃,,,26103,京都市
宮津市滝馬,その他,135.1888889,35.53,2016/11/11,,,1,高校敷地内の自転車小屋周辺でクマの糞を発見した。,,,26205,宮津市
宮津市滝馬,その他,135.1883333,35.52861111,2016/11/11,,,1,宮津高校敷地内でクマの糞を発見した。,,,26205,宮津市
与謝野町滝,集落内,135.0986111,35.48083333,2016/11/11,,,1,木工センター付近でクマを目撃した。,,,26465,与謝野町
与謝野町温江,集落内,135.1041667,35.50138889,2016/11/11,,,1,交差点付近の柿の木に被害を発見した。,,,26465,与謝野町
京丹後市大宮町奥大野,集落内,135.0888889,35.58166667,2016/11/11,,,1,カキの収穫をしようと柿の木に行くと座布団ができており、柿の木の下に大きな糞も落ちていた。,,,26212,京丹後市
京丹後市久美浜町口三谷,集落内,134.8916667,35.58277778,2016/11/11,,,1,集落内のカキを食べに来ている。,,,26212,京丹後市
京丹後市久美浜町口三谷,集落内,134.8847222,35.58083333,2016/11/11,,,1,集落内のカキを食べに来ている。,,,26212,京丹後市
京丹後市久美浜町口三谷,集落内,134.89,35.57888889,2016/11/11,,,1,集落内のカキを食べに来ている。,,,26212,京丹後市
宮津市須津,集落内,135.1591667,35.54916667,2016/11/11,1,,,団地から山の方へ行った。,,,26205,宮津市
福知山市三和町大原,天然生林,135.2950722,35.25580556,2016/11/11,1,,,自宅の裏山で目撃,,,26201,福知山市
綾部市西方町,集落内,135.2333528,35.37663056,2016/11/11,,,,痕跡　自宅裏のカキの木周辺にフン,,,26203,綾部市
綾部市位田町,畑,135.2330083,35.31088611,2016/11/11,,,,痕跡　カキの木　枝折れ、食害,,,26203,綾部市
京丹波町西河内,その他,135.4175,35.30055556,2016/11/11,,,1,バス停留所から山の方へ移動するクマを目撃。,150cm,,26407,京丹波町
綾部市上原町,集落内,135.3211639,35.29629167,2016/11/11,,,,痕跡　住宅近くのカキの木の枝折れ、フン,,,26203,綾部市
綾部市西方町,集落内,135.2340861,35.37785833,2016/11/11,1,,,犬が吠えるので見に行くと、カキの木にクマが登っていた。その後、すぐに自宅裏山の南東方向へ逃げていった。,１ｍ,,26203,綾部市
綾部市西方町,集落内,135.2244194,35.361775,2016/11/11,1,,,何北中学校前で目撃。北から南へ移動,１ｍ,,26203,綾部市
福知山市新庄,集落内,135.1036667,35.30348889,2016/11/11,1,,,ホテルクレヨン付近の山林で目撃,,,26201,福知山市
京丹後市久美浜町長野,集落内,134.9777778,35.59527778,2016/11/12,,,1,玄関前の柿の木にクマの爪痕があった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/11/12,,,1,クマの糞を発見した。,,,26212,京丹後市
福知山市上佐々木,路上,135.0429083,35.39503611,2016/11/12,,1,,路上から山側へ移動,,,26201,福知山市
宮津市中野,集落内,135.1919444,35.58222222,2016/11/12,,,2,高校生が柿の木に登ろうとしていることを目撃した。,,,26205,宮津市
舞鶴市十倉,路上,135.3314,35.41990833,2016/11/12,,,1,十倉地内で目撃,,,26202,舞鶴市
京丹後市久美浜町佐野,その他,134.9819444,35.57333333,2016/11/13,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重95kg　全長直122.3cm,捕殺,26212,京丹後市
宮津市国分,集落内,135.1741667,35.57583333,2016/11/13,1,,,木が揺れていたので見てみるとクマが柿の木に登っていた。,,,26205,宮津市
伊根町大原,路上,135.2816667,35.6875,2016/11/13,1,,,府道を移動中に山の方へ移動するクマを目撃した。,,,26463,伊根町
京丹後市久美浜町尉ヶ畑,集落内,134.9794444,35.54583333,2016/11/13,,,1,家の前の柿の木にクマの爪痕があった。,,,26212,京丹後市
