AED設置場所名称,よみ,住所,経度,緯度,利用開始時間,利用終了時間,設置位置,注意事項,URL,備考
溝谷保育所,みぞたにほいくしょ,京丹後市弥栄町堤３４３５,135.0944901,35.65646814,,,職員室内,,,
吉野保育所,よしのほいくしょ,京丹後市弥栄町芋野１２１３,135.0898961,35.64701623,,,職員室内,,,
久美浜保育所,くみはまほいくしょ,京丹後市久美浜町１３２２,134.8918698,35.60333356,,,職員室内,,,
湊保育所,みなとほいくしょ,京丹後市久美浜町湊宮２１０２−１,134.9110223,35.64351505,,,職員室内,,,
神野保育所,かんのほいくしょ,京丹後市久美浜町浦明１０５０,134.9242313,35.62560081,,,職員室前ホール,,,
田村保育所,たむらほいくしょ,京丹後市久美浜町関６２１,134.9446305,35.62071091,,,職員室内,,,
こうりゅう保育所,こうりゅうほいくしょ,京丹後市久美浜町永留２４６−４,134.941426,35.58907619,,,職員室内,,,
吉原小学校,よしわらしょうがっこう,京丹後市峰山町安９,135.0546202,35.61718001,,,１階職員室内,,,
五箇小学校,ごかしょうがっこう,京丹後市峰山町五箇１,135.0363939,35.59077718,,,１階職員室内,,,
大宮第二小学校,おみやだいに しょうがっこう,京丹後市大宮町奥大野７２,135.0888062,35.56533765,,,１階職員室内,,,
大宮第三小学校,おみやだいさんしょうがっこう,京丹後市大宮町森本７８２,135.1350926,35.5889642,,,１階職員室内,,,
三津小学校,みつしょうがっこう,京丹後市網野町三津２７,135.0664486,35.70592127,,,１階職員室内,,,
橘小学校,たちばなしょうがっこう,京丹後市網野町木津１３５７,134.9666493,35.65531199,,,１階職員室内,,,
宇川小学校,うかわしょうがっこう,京丹後市丹後町上野１２０,135.1725509,35.75206997,,,１階職員室内,,,
野間小学校,のましょうがっこう,京丹後市弥栄町野中２２６４,135.1570528,35.68527809,,,１階児童昇降口,,,
川上小学校,かわかみしょうがっこう,京丹後市久美浜町畑３９４,134.9322721,35.55612566,,,１階職員室内,,,
田村小学校,たむらしょうがっこう,京丹後市久美浜町関４９５,134.9455972,35.6203565,,,１階職員室内,,,
湊小学校,みなとしょうがっこう,京丹後市久美浜町湊宮１６５５,134.9022634,35.64271321,,,１階職員室内,,,
佐濃小学校,さのしょうがっこう,京丹後市久美浜町安養寺５８１,134.9618318,35.5815488,,,１階職員室内,,,
峰山中学校,みねやまちゅうがっこう,京丹後市峰山町荒山８８,135.0733626,35.61954338,,,１階職員室内,,,
大宮中学校,おおみやちゅうがっこう,京丹後市大宮町口大野２１６,135.0967254,35.58241206,,,１階職員室内,,,
宇川中学校,うかわちゅうがっこう,京丹後市丹後町上野１０５−１,135.1698613,35.75039389,,,１階校長室内,,,
間人中学校,たいざちゅうがっこう,京丹後市丹後町間人３２０,135.0971761,35.73093696,,,１階職員玄関,,,
網野中学校,あみのちゅうがっこう,京丹後市網野町網野２６９６,135.0324968,35.68509851,,,１階職員室内,,,
橘中学校,たちばなちゅうがっこう,京丹後市網野町木津１３５７,134.9664201,35.6563772,,,１階職員室内,,,
久美浜中学校,くみはまちゅうがっこう,京丹後市久美浜町６４０,134.895144,35.60148238,,,１階職員室内,,,
