西暦,和暦,地域コード,地域等,総数_事業所数(事業所),総数_従業者数(人),総数_製造品出荷額等(万円),食料品_事業所数(事業所),食料品_従業者数(人),食料品_製造品出荷額等(万円),飲料・たばこ・飼料_事業所数(事業所),飲料・たばこ・飼料_従業者数(人),飲料・たばこ・飼料_製造品出荷額等(万円),繊維_事業所数(事業所),繊維_従業者数(人),繊維_製造品出荷額等(万円),木材・木製品_事業所数(事業所),木材・木製品_従業者数(人),木材・木製品_製造品出荷額等(万円),家具・装備品_事業所数(事業所),家具・装備品_従業者数(人),家具・装備品_製造品出荷額等(万円),パルプ・紙_事業所数(事業所),パルプ・紙_従業者数(人),パルプ・紙_製造品出荷額等(万円),印刷_事業所数(事業所),印刷_従業者数(人),印刷_製造品出荷額等(万円),化学_事業所数(事業所),化学_従業者数(人),化学_製造品出荷額等(万円),石油・石炭_事業所数(事業所),石油・石炭_従業者数(人),石油・石炭_製造品出荷額等(万円),プラスチック製品_事業所数(事業所),プラスチック製品_従業者数(人),プラスチック製品_製造品出荷額等(万円),ゴム製品_事業所数(事業所),ゴム製品_従業者数(人),ゴム製品_製造品出荷額等(万円),皮革_事業所数(事業所),皮革_従業者数(人),皮革_製造品出荷額等(万円),窯業・土石_事業所数(事業所),窯業・土石_従業者数(人),窯業・土石_製造品出荷額等(万円),鉄鋼_事業所数(事業所),鉄鋼_従業者数(人),鉄鋼_製造品出荷額等(万円),非鉄金属_事業所数(事業所),非鉄金属_従業者数(人),非鉄金属_製造品出荷額等(万円),金属製品_事業所数(事業所),金属製品_従業者数(人),金属製品_製造品出荷額等(万円),はん用機械_事業所数(事業所),はん用機械_従業者数(人),はん用機械_製造品出荷額等(万円),生産用機械_事業所数(事業所),生産用機械_従業者数(人),生産用機械_製造品出荷額等(万円),業務用機械_事業所数(事業所),業務用機械_従業者数(人),業務用機械_製造品出荷額等(万円),電子部品_事業所数(事業所),電子部品_従業者数(人),電子部品_製造品出荷額等(万円),電気機械_事業所数(事業所),電気機械_従業者数(人),電気機械_製造品出荷額等(万円),情報通信_事業所数(事業所),情報通信_従業者数(人),情報通信_製造品出荷額等(万円),輸送用機械_事業所数(事業所),輸送用機械_従業者数(人),輸送用機械_製造品出荷額等(万円),その他_事業所数(事業所),その他_従業者数(人),その他_製造品出荷額等(万円)
2014年,平成26年,26205,宮津市,23,420, X,9,123,240548,2,29, X,3,181,705355,1,6, X, -, -, -,1,8, X,2,18, X, -, -, -,1,8, X, -, -, -, -, -, -, -, -, -,2,30, X, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,11, X, -, -, -,1,6, X
2014年,平成26年,26206,亀岡市,155,4577,10723420,22,433,938057,2,16, X,17,175,124036,9,165,596284,3,17,10589,2,176, X,11,193,448265,3,69,259797, -, -, -,9,381,942975, -, -, -,1,4, X,13,179,459566,1,7, X,1,132, X,14,532,1339913,5,312,1275724,10,281,254744, -, -, -,13,484,472766,11,812,1968303,1,16, X,5,141,288902,2,52, X
2014年,平成26年,26207,城陽市,121,4130,8936675,8,814,1162289,7,222,651916,21,392,447160,2,146, X,1,4, X, -, -, -,2,117, X,4,89,217841, -, -, -,14,168,923752, -, -, -, -, -, -,8,223,577292,1,35, X,1,24, X,9,137,153633,2,18, X,19,456,802350,3,70,115237,1,7, X,11,400,782997,1,735, X,2,29, X,4,44,53970
2014年,平成26年,26208,向日市,47,1317,3351644,9,102,38299, -, -, -,2,14, X,3,57,102651,1,8, X,1,12, X,3,400,381186,2,91, X, -, -, -,5,150,286068, -, -, -, -, -, -, -, -, -,2,24, X, -, -, -,7,98,118414,1,20, X,6,174,335890,1,9, X,1,134, X,1,5, X,1,15, X, -, -, -,1,4, X
2014年,平成26年,26209,長岡京市,87,4933,28862950,10,273,685654,1,154, X,3,47,49224,1,20, X,1,16, X,6,420,2833350, -, -, -,4,130,129702,3,28,299030,7,80,95521, -, -, -, -, -, -, -, -, -, -, -, -,2,33, X,12,270,449055,4,993,3773164,13,464,907500,1,50, X,1,8, X,9,167,232543,1,913, X,4,779,5871252,4,88,216207
2014年,平成26年,26210,八幡市,113,4023,12890652,10,1342,3730782, -, -, -,4,39,69327,3,21,69633,4,118,281977,4,47,41275,2,58, X,2,27, X, -, -, -,12,208,426311, -, -, -, -, -, -,2,19, X,4,97,635559,1,13, X,21,341,695252,5,330,1607027,20,785,3453063,5,100,244865,1,10, X,8,383,1042378,1,46, X,2,29, X,2,10, X
2014年,平成26年,26211,京田辺市,81,3979,18762153,6,373,5323768,6,103,320357,2,16, X,2,23, X, -, -, -,4,185,817620,5,890,309907,3,32,36788, -, -, -,7,100,110971,1,4, X, -, -, -,5,249,615762,1,9, X, -, -, -,10,120,162987,3,916,6245463,7,202,354017,7,233,260320,2,155, X,5,193,228080,1,41, X,4,135,360423, -, -, -
2014年,平成26年,26212,京丹後市,183,4086,5640429,17,513,576271,3,27,31989,46,544,463414,4,38,34185,5,57,82941,2,12, X,6,57,46963,1,7, X, -, -, -,10,279,373329,1,10, X, -, -, -,10,184,321228,6,236,462726, -, -, -,19,291,440300,6,90,87758,27,752,1139296,3,143,525232,1,10, X,4,135,218510,1,28, X,9,658,762548,2,15, X
2014年,平成26年,26213,南丹市,79,2782,17108137,16,1082,6093164,1,27, X,13,106,56218,6,109,638663,2,15, X,1,20, X,6,108,244470,3,45,93263, -, -, -,6,92,199519, -, -, -,1,4, X,4,131,271683, -, -, -, -, -, -,6,65,65288,1,22, X,2,79, X,1,62, X,2,32, X,1,12, X, -, -, -,3,710,8544701,4,61,132510
2014年,平成26年,26214,木津川市,59,1079,2949586, -, -, -,9,139,1167849,10,67,75645, -, -, -,2,33, X,6,129,235852, -, -, -,1,5, X, -, -, -,8,272, X, -, -, -, -, -, -,4,107,385189, -, -, -, -, -, -,9,118,294072,2,19, X,3,45,67449,2,77, X, -, -, -, -, -, -,1,6, X,1,58, X,1,4, X
