地域コード,地域,種別,住宅数(戸),世帯数(世帯),世帯人員(人),1住宅当たり居住室数(室),1住宅当たり居住室の畳数(畳),1住宅当たり延べ面積(m2),1人当たり居住室の畳数(畳),1室当たり人員(人)
26204,宇治市,持ち家,53520,53790,146030,5.46,38.98,106.61,14.28,0.5
26204,宇治市,借家,17750,17750,34270,3.01,19.28,46.71,9.99,0.64
26204,宇治市,専用住宅,71630,71880,181020,4.82,33.8,90.4,13.37,0.52
26204,宇治市,店舗その他の併用住宅,1860,1880,4760,5.86,44.41,141.55,17.03,0.45
26205,宮津市,合計,7680,7700,17950,5.97,38.98,134.44,16.6,0.39
26205,宮津市,持ち家,5900,5920,14700,6.72,44.4,154.66,17.84,0.37
26205,宮津市,借家,1710,1710,3180,3.38,20.28,64.6,10.9,0.55
26205,宮津市,専用住宅,7270,7290,17050,5.96,38.8,131.74,16.46,0.4
26205,宮津市,店舗その他の併用住宅,410,410,900,6.23,42.23,181.88,19.24,0.35
26206,亀岡市,合計,33770,34100,90460,5.45,37.15,110.21,13.73,0.5
26206,亀岡市,持ち家,26330,26640,76160,6.1,41.71,125.76,14.42,0.47
26206,亀岡市,借家,6740,6750,13310,2.91,19.34,49.5,9.79,0.68
26206,亀岡市,専用住宅,33050,33380,88690,5.44,37.05,109.12,13.66,0.5
26206,亀岡市,店舗その他の併用住宅,720,720,1770,6.1,41.77,159.63,16.99,0.4
26207,城陽市,合計,29510,29550,76630,5.15,34.96,93.86,13.34,0.51
26207,城陽市,持ち家,23660,23700,65110,5.64,38.59,104.19,14.02,0.49
26207,城陽市,借家,5330,5330,10900,2.98,18.88,48.03,9.24,0.69
26207,城陽市,専用住宅,29110,29130,75630,5.15,34.94,93.44,13.32,0.51
26207,城陽市,店舗その他の併用住宅,410,420,1000,5.38,36.84,125.31,14.5,0.47
26208,向日市,合計,21090,21290,53500,4.84,33.07,89.28,12.88,0.53
26208,向日市,持ち家,15770,15960,43090,5.37,37.34,102.52,13.67,0.51
26208,向日市,借家,4830,4840,9800,3.11,19.12,46.09,9.43,0.65
26208,向日市,専用住宅,20620,20790,52380,4.82,32.84,88.28,12.77,0.53
26208,向日市,店舗その他の併用住宅,480,500,1110,5.68,42.58,131.82,18.19,0.41
26209,長岡京市,合計,31570,31980,79430,4.67,33.51,87.7,13.28,0.54
26209,長岡京市,持ち家,22960,23350,62880,5.35,38.78,102.37,14.16,0.51
26209,長岡京市,借家,8310,8330,16030,2.8,18.95,47.18,9.83,0.69
26209,長岡京市,専用住宅,30910,31290,77820,4.66,33.4,86.9,13.23,0.54
26209,長岡京市,店舗その他の併用住宅,660,690,1600,5.34,38.9,126.21,15.9,0.46
26210,八幡市,合計,29650,29910,73510,4.86,33.15,92.76,13.34,0.51
26210,八幡市,持ち家,19560,19800,54060,5.64,39.78,114,14.4,0.49
26210,八幡市,借家,9650,9660,18530,3.27,19.69,49.69,10.25,0.59
26210,八幡市,専用住宅,29310,29550,72660,4.85,32.96,92.09,13.26,0.51
26210,八幡市,店舗その他の併用住宅,340,350,850,5.89,49.85,151.43,20.35,0.42
26211,京田辺市,合計,29200,29400,69040,4.53,32.66,91.67,13.67,0.53
26211,京田辺市,持ち家,18590,18770,53590,5.77,42.17,120.17,14.63,0.5
26211,京田辺市,借家,9910,9920,14480,2.19,14.81,38.22,10.13,0.67
26211,京田辺市,専用住宅,29000,29200,68450,4.52,32.61,91.14,13.68,0.53
26211,京田辺市,店舗その他の併用住宅,200,200,590,5.67,39.99,171.1,12.98,0.54
26212,京丹後市,合計,20530,20620,55650,6.74,44.21,149.57,16.3,0.4
26212,京丹後市,持ち家,17730,17800,50160,7.31,47.87,163.73,16.92,0.39
26212,京丹後市,借家,2790,2810,5470,3.13,20.93,59.57,10.68,0.63
26212,京丹後市,専用住宅,19280,19380,51990,6.74,44.12,147.18,16.36,0.4
26212,京丹後市,店舗その他の併用住宅,1250,1250,3660,6.81,45.57,186.49,15.55,0.43
26213,南丹市,合計,12980,12980,33550,5.97,38.94,121.2,14.99,0.43
26213,南丹市,持ち家,9400,9400,27800,7.26,47.25,149.32,15.99,0.41
26213,南丹市,借家,3100,3100,4670,2.07,13.7,35.77,9.08,0.73
26213,南丹市,専用住宅,12650,12650,32580,5.95,38.71,120.19,14.96,0.43
26213,南丹市,店舗その他の併用住宅,330,330,970,6.76,47.85,160.96,15.98,0.44
26214,木津川市,合計,25410,25570,71350,5.56,40.8,115.89,14.38,0.51
