西暦,和暦,地域コード,地域,総数(人),農業(人),林業(人),漁業(人),"鉱業,採石業,砂利採取業(人)",建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),"学術研究,専門・技術サービス業(人)",宿泊業，飲食サービス業(人),"生活関連サービス業,娯楽業(人)",教育，学習支援業(人),"医療,福祉(人)",複合サービス事業(人),サービス業（他に分類されないもの）(人),公務(他に分類されるものを除く)(人),分類不能の産業(人)
2010年,平成22年,26202,舞鶴市,41686,1345,22,224,16,3400,4857,437,98,1789,6138,775,415,581,2232,1286,1885,4764,252,2160,5475,3535
2010年,平成22年,26203,綾部市,17456,1430,48,2,-,1079,4843,62,87,677,2160,208,109,465,662,527,644,2120,280,924,596,533
2010年,平成22年,26204,宇治市,64216,503,4,-,6,3942,12121,213,467,2219,9270,957,957,1610,3062,2538,3673,8313,186,2811,3466,7898
2010年,平成22年,26205,宮津市,10580,540,31,161,5,1006,1001,95,28,479,1678,341,114,253,1048,369,520,932,106,584,582,707
2010年,平成22年,26206,亀岡市,33495,1671,29,1,21,2242,6814,140,119,1357,5127,444,382,639,1769,1344,1639,3605,354,1773,1044,2981
2010年,平成22年,26207,城陽市,23598,536,-,-,42,1451,4644,59,107,896,3592,321,307,444,1182,1190,1140,3545,118,1092,840,2092
2010年,平成22年,26208,向日市,14862,247,-,-,-,1029,1995,42,129,971,2662,169,321,477,709,899,794,1787,76,831,709,1015
2010年,平成22年,26209,長岡京市,31988,338,2,-,-,1457,11107,163,594,1428,3741,463,515,1204,1317,1013,1539,4027,121,1473,713,773
2010年,平成22年,26210,八幡市,24035,587,-,1,-,1355,3940,85,135,2953,4499,220,307,359,948,832,1034,2219,98,1151,695,2617
2010年,平成22年,26211,京田辺市,24868,607,-,-,2,1253,4075,48,163,1876,3409,372,475,498,1750,853,2630,2540,205,1268,836,2008
2010年,平成22年,26212,京丹後市,28541,2486,55,169,43,2180,6732,70,65,591,3795,402,84,351,2121,908,1256,3520,336,1211,1147,1019
2010年,平成22年,26213,南丹市,16821,1571,179,1,-,1122,3322,50,45,550,1674,143,102,325,765,526,1229,2667,211,767,773,799
2010年,平成22年,26214,木津川市,18722,1108,6,1,-,1163,1716,78,117,584,3432,230,289,905,884,672,1127,2592,120,939,813,1946
2010年,平成22年,26303,乙訓郡大山崎町,5875,54,-,-,-,274,2535,14,124,717,436,16,79,96,158,82,199,343,45,310,207,186
2010年,平成22年,26322,久世郡久御山町,19455,715,1,-,1,943,7616,21,74,2826,2926,102,131,163,518,458,311,943,55,781,261,609
2010年,平成22年,26343,綴喜郡井手町,2982,103,1,-,2,494,705,6,3,132,223,36,45,30,74,203,135,210,16,70,113,381
2010年,平成22年,26344,綴喜郡宇治田原町,5305,415,11,-,4,295,2333,30,9,304,759,31,46,47,94,157,101,232,35,152,120,130
2010年,平成22年,26364,相楽郡笠置町,505,17,3,-,-,58,55,-,1,13,62,2,2,6,55,73,24,56,6,17,50,5
2010年,平成22年,26365,相楽郡和束町,1601,515,9,-,-,149,166,4,2,38,170,7,2,12,31,77,42,137,26,72,84,58
2010年,平成22年,26366,相楽郡精華町,9364,378,2,-,6,499,1030,77,225,158,1383,128,98,846,335,292,1012,1349,43,570,435,498
2010年,平成22年,26367,相楽郡南山城村,937,255,4,-,-,44,33,6,-,22,42,1,-,14,116,141,40,61,30,43,62,23
2010年,平成22年,26407,船井郡京丹波町,6773,1163,45,2,1,533,1513,25,17,164,726,44,25,82,335,361,265,686,108,270,226,182
2010年,平成22年,26463,与謝郡伊根町,973,129,16,162,5,59,53,1,-,19,77,11,7,-,107,14,65,117,20,32,75,4
2010年,平成22年,26465,与謝郡与謝野町,9559,373,28,-,2,856,2494,22,17,202,1361,91,47,119,320,341,571,1267,99,486,232,631
