西暦,和暦,大分類項目,中分類項目名,事業所数(事業所),事業所数_個人(事業所),事業所数_法人(事業所),事業所数_会社(事業所),事業所数_会社以外の法人(事業所),事業所_法人でない団体(事業所),従業者数(人),従業者数_個人(人),従業者数_法人(人),従業者数_会社(人),従業者数_会社以外の法人(人),従業者数_法人でない団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
2014年,平成26年,H_運輸業，郵便業,47_倉庫業,156,3,153,145,8,-,3535,6,3529,3456,73,-,2,-,109,1394,1870,160
2014年,平成26年,H_運輸業，郵便業,48_運輸に附帯するサービス業,187,4,174,135,39,9,5333,13,5260,4935,325,60,4,1,130,2455,2231,512
2014年,平成26年,H_運輸業，郵便業,49_郵便業（信書便事業を含む）,8,2,6,6,-,-,2155,5,2150,2150,-,-,2,-,1,815,1337,-
2014年,平成26年,I_卸売業，小売業,合計,30363,12157,18169,17681,488,37,249992,38897,210834,203409,7425,261,11665,5199,17894,99453,106367,9414
2014年,平成26年,I_卸売業，小売業,50_各種商品卸売業,20,2,18,18,-,-,239,3,236,236,-,-,2,-,24,161,41,11
2014年,平成26年,I_卸売業，小売業,51_繊維・衣服等卸売業,1324,287,1037,1029,8,-,15191,698,14493,14475,18,-,280,106,1809,8486,4210,300
2014年,平成26年,I_卸売業，小売業,52_飲食料品卸売業,1526,357,1165,1127,38,4,16052,1252,14757,14506,251,43,347,204,1794,9003,4112,592
2014年,平成26年,I_卸売業，小売業,53_建築材料，鉱物・金属材料等卸売業,1311,224,1083,1044,39,4,9583,609,8968,8780,188,6,220,97,1612,6528,954,172
2014年,平成26年,I_卸売業，小売業,54_機械器具卸売業,1577,152,1425,1416,9,-,17194,360,16834,16800,34,-,149,50,1356,13973,1519,147
2014年,平成26年,I_卸売業，小売業,55_その他の卸売業,1790,381,1406,1383,23,3,16312,1056,15254,15163,91,2,370,139,1746,9774,3885,398
2014年,平成26年,I_卸売業，小売業,56_各種商品小売業,83,7,76,75,1,-,10576,22,10554,10488,66,-,7,2,20,2951,7512,84
2014年,平成26年,I_卸売業，小売業,57_織物・衣服・身の回り品小売業,3495,1455,2037,2018,19,3,16519,3052,13458,13420,38,9,1381,536,1144,5288,7683,487
2014年,平成26年,I_卸売業，小売業,58_飲食料品小売業,7032,3869,3147,3007,140,16,71225,17237,53812,51125,2687,176,3686,1951,2379,13027,45994,4188
2014年,平成26年,I_卸売業，小売業,59_機械器具小売業,3059,1338,1720,1695,25,1,18081,3057,15020,14769,251,4,1300,542,1778,11316,2804,341
2014年,平成26年,I_卸売業，小売業,60_その他の小売業,8301,3804,4493,4335,158,4,50792,10996,39778,37729,2049,18,3646,1459,3610,15237,24306,2534
2014年,平成26年,I_卸売業，小売業,61_無店舗小売業,845,281,562,534,28,2,8228,555,7670,5918,1752,3,277,113,622,3709,3347,160
2014年,平成26年,J_金融業，保険業,合計,1577,110,1466,1151,315,1,27057,213,26843,19871,6972,1,107,28,1049,20661,4857,355
2014年,平成26年,J_金融業，保険業,62_銀行業,261,-,261,260,1,-,6163,-,6163,6096,67,-,-,-,26,5003,981,153
2014年,平成26年,J_金融業，保険業,63_協同組織金融業,265,-,265,1,264,-,6132,-,6132,40,6092,-,-,-,98,5104,930,-
2014年,平成26年,J_金融業，保険業,64_貸金業，クレジットカード業等非預金信用機関,114,29,85,82,3,-,2113,69,2044,2033,11,-,27,7,113,1406,517,43
2014年,平成26年,J_金融業，保険業,65_金融商品取引業，商品先物取引業,76,-,76,75,1,-,1183,-,1183,1182,1,-,-,-,101,907,170,5
2014年,平成26年,J_金融業，保険業,66_補助的金融業等,34,1,32,24,8,1,369,1,367,178,189,1,1,-,25,258,85,-
2014年,平成26年,J_金融業，保険業,67_保険業（保険媒介代理業，保険サービス業を含む）,827,80,747,709,38,-,11097,143,10954,10342,612,-,79,21,686,7983,2174,154
2014年,平成26年,K_不動産業，物品賃貸業,合計,8676,3550,5099,4898,201,27,31481,6196,25237,24188,1049,48,3440,1273,6938,11630,7140,1060
2014年,平成26年,K_不動産業，物品賃貸業,68_不動産取引業,1556,233,1322,1311,11,1,7095,479,6614,6535,79,2,229,68,1637,4026,888,247
2014年,平成26年,K_不動産業，物品賃貸業,69_不動産賃貸業・管理業,6551,3265,3260,3073,187,26,18442,5506,12890,11955,935,46,3163,1187,4874,4812,3851,555
2014年,平成26年,K_不動産業，物品賃貸業,70_物品賃貸業,569,52,517,514,3,-,5944,211,5733,5698,35,-,48,18,427,2792,2401,258
2014年,平成26年,L_学術研究，専門・技術サービス業,合計,4511,2288,2215,1895,320,8,30878,6724,24140,20047,4093,14,2234,350,3039,19513,4744,998
2014年,平成26年,L_学術研究，専門・技術サービス業,71_学術・開発研究機関,161,8,151,89,62,2,4356,16,4338,2934,1404,2,8,2,109,3118,937,182
2014年,平成26年,L_学術研究，専門・技術サービス業,72_専門サービス業（他に分類されないもの）,2535,1616,914,705,209,5,12299,5203,7088,4870,2218,8,1571,176,1506,6765,1990,291
2014年,平成26年,L_学術研究，専門・技術サービス業,73_広告業,156,8,148,146,2,-,1262,19,1243,1236,7,-,8,2,169,875,193,15
2014年,平成26年,L_学術研究，専門・技術サービス業,74_技術サービス業（他に分類されないもの）,1659,656,1002,955,47,1,12961,1486,11471,11007,464,4,647,170,1255,8755,1624,510
2014年,平成26年,M_宿泊業，飲食サービス業,合計,15934,10060,5854,5670,184,20,129859,33554,96180,93852,2328,125,9635,3818,3619,25047,74386,13354
2014年,平成26年,M_宿泊業，飲食サービス業,75_宿泊業,1114,441,663,590,73,10,20005,1794,18142,17131,1011,69,423,309,763,6938,8845,2727
2014年,平成26年,M_宿泊業，飲食サービス業,76_飲食店,13632,9287,4336,4243,93,9,99113,30355,68719,67550,1169,39,8918,3366,2607,16017,57995,10210
2014年,平成26年,M_宿泊業，飲食サービス業,77_持ち帰り・配達飲食サービス業,1188,332,855,837,18,1,10741,1405,9319,9171,148,17,294,143,249,2092,7546,417
2014年,平成26年,N_生活関連サービス業，娯楽業,合計,9467,6373,3068,2890,178,26,48259,13787,34362,32253,2109,110,6094,1535,2256,16836,19102,2436
2014年,平成26年,N_生活関連サービス業，娯楽業,78_洗濯・理容・美容・浴場業,7288,5644,1641,1571,70,3,24566,11696,12862,12625,237,8,5398,1299,1103,8644,7435,687
2014年,平成26年,N_生活関連サービス業，娯楽業,79_その他の生活関連サービス業,1136,453,673,631,42,10,7386,1113,6228,5906,322,45,437,144,487,3147,2881,290
2014年,平成26年,N_生活関連サービス業，娯楽業,80_娯楽業,1043,276,754,688,66,13,16307,978,15272,13722,1550,57,259,92,666,5045,8786,1459
2014年,平成26年,O_教育，学習支援業,合計,3804,2076,1712,1141,571,16,62802,6061,56695,12952,43743,46,1986,299,990,26117,30518,2892
2014年,平成26年,O_教育，学習支援業,81_学校教育,436,10,426,8,418,-,41675,93,41582,88,41494,-,9,3,242,21468,18987,966
2014年,平成26年,O_教育，学習支援業,82_その他の教育，学習支援業,3368,2066,1286,1133,153,16,21127,5968,15113,12864,2249,46,1977,296,748,4649,11531,1926
2014年,平成26年,P_医療，福祉,合計,8642,4135,4483,1046,3437,24,161076,21421,139512,15789,123723,143,3998,802,3932,86340,57988,8016
2014年,平成26年,P_医療，福祉,83_医療業,5849,4067,1777,403,1374,5,94112,20914,73179,5451,67728,19,3947,797,2943,52007,30845,3573
2014年,平成26年,P_医療，福祉,84_保健衛生,53,4,47,14,33,2,1508,7,1494,115,1379,7,4,-,23,593,255,633
2014年,平成26年,P_医療，福祉,85_社会保険・社会福祉・介護事業,2740,64,2659,629,2030,17,65456,500,64839,10223,54616,117,47,5,966,33740,26888,3810
2014年,平成26年,Q_複合サービス事業,合計,618,29,589,443,146,-,8548,69,8479,6244,2235,-,28,6,117,5219,3163,15
2014年,平成26年,Q_複合サービス事業,86_郵便局,473,29,444,443,1,-,6319,69,6250,6244,6,-,28,6,3,3438,2839,5
2014年,平成26年,Q_複合サービス事業,87_協同組合（他に分類されないもの）,145,-,145,-,145,-,2229,-,2229,-,2229,-,-,-,114,1781,324,10
2014年,平成26年,R_サービス業（他に分類されないもの）,合計,8304,806,7093,2576,4517,405,83153,2235,79847,59541,20306,1071,780,282,7399,36170,33118,5404
2014年,平成26年,R_サービス業（他に分類されないもの）,88_廃棄物処理業,306,15,291,280,11,-,4110,55,4055,3916,139,-,15,9,530,2584,845,127
2014年,平成26年,R_サービス業（他に分類されないもの）,89_自動車整備業,794,425,369,356,13,-,4013,1018,2995,2887,108,-,417,159,490,2352,513,82
2014年,平成26年,R_サービス業（他に分類されないもの）,90_機械等修理業（別掲を除く）,522,184,338,324,14,-,3779,366,3413,3360,53,-,174,52,279,2572,630,72
2014年,平成26年,R_サービス業（他に分類されないもの）,91_職業紹介・労働者派遣業,294,14,277,232,45,3,12196,85,12104,11715,389,7,14,2,282,3857,7325,716
2014年,平成26年,R_サービス業（他に分類されないもの）,92_その他の事業サービス業,1616,123,1473,1375,98,20,39254,622,38589,37581,1008,43,116,37,1322,14515,19922,3342
2014年,平成26年,R_サービス業（他に分類されないもの）,93_政治・経済・文化団体,1182,-,847,-,847,335,6395,-,5473,-,5473,922,-,-,777,3724,1597,297
2014年,平成26年,R_サービス業（他に分類されないもの）,94_宗教,3530,39,3453,-,3453,38,12941,74,12804,-,12804,63,38,23,3695,6348,2115,722
2014年,平成26年,R_サービス業（他に分類されないもの）,95_その他のサービス業,60,6,45,9,36,9,465,15,414,82,332,36,6,-,24,218,171,46
