大分類項目,中分類項目名,事業所数(事業所),民営事業所(事業所),民営事業所_個人(事業所),民営事業所_法人(事業所),民営事業所_会社(事業所),民営事業所_会社以外の法人(事業所),国(事業所),地方公共団体(事業所),従業者数(人),民営事業所(人),民営事業所_個人(人),民営事業所_法人(人),民営事業所_会社(人),民営事業所_会社以外の法人(人),国(人),地方公共団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
H_運輸業，郵便業,44_道路貨物運送業,1099,1099,62,1036,1027,9,-,-,26240,26240,168,26070,26018,52,-,-,60,22,1135,16867,7045,1111
H_運輸業，郵便業,45_水運業,16,16,5,11,10,1,-,-,269,269,10,259,121,138,-,-,5,3,15,199,40,7
H_運輸業，郵便業,46_航空運輸業,7,7,-,7,7,-,-,-,39,39,-,39,39,-,-,-,-,-,-,39,-,-
H_運輸業，郵便業,47_倉庫業,156,156,3,153,145,8,-,-,3535,3535,6,3529,3456,73,-,-,2,-,109,1394,1870,160
H_運輸業，郵便業,48_運輸に附帯するサービス業,194,187,4,174,135,39,-,7,5355,5333,13,5260,4935,325,-,22,4,1,130,2469,2239,512
H_運輸業，郵便業,49_郵便業（信書便事業を含む）,8,8,2,6,6,-,-,-,2155,2155,5,2150,2150,-,-,-,2,-,1,815,1337,-
I_卸売業，小売業,合計,30369,30363,12157,18169,17681,488,-,6,250046,249992,38897,210834,203409,7425,-,54,11665,5199,17894,99459,106412,9417
I_卸売業，小売業,50_各種商品卸売業,20,20,2,18,18,-,-,-,239,239,3,236,236,-,-,-,2,-,24,161,41,11
I_卸売業，小売業,51_繊維・衣服等卸売業,1324,1324,287,1037,1029,8,-,-,15191,15191,698,14493,14475,18,-,-,280,106,1809,8486,4210,300
I_卸売業，小売業,52_飲食料品卸売業,1526,1526,357,1165,1127,38,-,-,16052,16052,1252,14757,14506,251,-,-,347,204,1794,9003,4112,592
I_卸売業，小売業,53_建築材料，鉱物・金属材料等卸売業,1311,1311,224,1083,1044,39,-,-,9583,9583,609,8968,8780,188,-,-,220,97,1612,6528,954,172
I_卸売業，小売業,54_機械器具卸売業,1577,1577,152,1425,1416,9,-,-,17194,17194,360,16834,16800,34,-,-,149,50,1356,13973,1519,147
